target,cohort,lane,scale,split_view,seed,model,rows,baseline_r2,baseline_mae,target_permutation_r2_mean,r2_minus_null
shear_modulus,within_source_common,causal_common,full,row_random,37,hist_gradient_boosting,13021,-10.067177557995375,7161389807.792136,-4.5615097975395535,-5.505667760455824
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,11,ridge,13021,-0.0004061314648202,23647984251.870792,-0.0004454314299032,3.929996508300615e-05
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,11,random_forest,13021,-0.0106791037718294,26585416061.144592,-0.0023301366401196,-0.0083489671317097
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,11,extra_trees,13021,-0.0009546314524988,22808890159.30439,-0.0015122414680046,0.0005576100155057
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,11,hist_gradient_boosting,13021,-0.0004649930730447,22879616753.1953,-0.000457032024504,-7.961048540683368e-06
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,23,ridge,13021,-0.0004122575815597,25155465359.516777,-0.0004707892174216,5.853163586193587e-05
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,23,random_forest,13021,-0.0028491319145509,24832797111.318916,-0.0036225806302725,0.0007734487157215
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,23,extra_trees,13021,-0.0006860910520114,24367966485.26359,-0.0012789299222087,0.0005928388701972
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,23,hist_gradient_boosting,13021,-0.0004585524695075,24817482258.459343,-0.0004515716372204,-6.980832287103078e-06
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,37,ridge,13021,-358.4239647034365,10708755907.123114,-531.5492105319067,173.1252458284702
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,37,random_forest,13021,-581166.4832307769,26123850885.91192,-84099.91446160707,-497066.5687691698
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,37,extra_trees,13021,-16302.830260656428,8006631900.826603,-57771.78927222385,41468.95901156742
shear_modulus,within_source_common,causal_common,full,reduced_composition_group,37,hist_gradient_boosting,13021,-4431.855811858174,7340092745.668531,-1667.6855368065037,-2764.1702750516706
shear_modulus,within_source_common,causal_common,full,chemical_system_group,11,ridge,13021,-0.0049656406479297,16782472474.714657,-0.0067305342729603,0.0017648936250306
shear_modulus,within_source_common,causal_common,full,chemical_system_group,11,random_forest,13021,-3.8355298962693896,24277909792.86877,-0.8998043215477726,-2.935725574721617
shear_modulus,within_source_common,causal_common,full,chemical_system_group,11,extra_trees,13021,-0.0347846663263966,9570371962.378702,-0.3209338104114547,0.2861491440850581
shear_modulus,within_source_common,causal_common,full,chemical_system_group,11,hist_gradient_boosting,13021,-0.0121793623625197,11464733703.365768,-0.0141581522269401,0.0019787898644204
shear_modulus,within_source_common,causal_common,full,chemical_system_group,23,ridge,13021,-0.0047620251298432,16404058953.434216,-0.0072721641925617,0.0025101390627184
